,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
118170,118170,Argentina,"Black-fruit aromas come with notes of rubber and smoke. Full and rugged feeling, the wine has juicy acidity and inherent raciness. Flavors of blackberry lean toward jammy, while subtle oak notes enhance this full-bodied, fruity red.",Emma,89,38.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Zuccardi 2012 Emma Bonarda (Mendoza),Bonarda,Zuccardi
108608,108608,France,"92–94. Barrel sample. This concentrated wine is packed with new wood as well as dark chocolate flavors. The palate is dense with bitter, extracted coffee flavors, but balanced by lively, lingering acidity.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Grand Corbin-Despagne 2012 Barrel Sample  (Saint-Émilion),Bordeaux-style Red Blend,Château Grand Corbin-Despagne
64876,64876,US,"The best yet from NxNW, this deep, earthy, loamy Cabernet is sourced from Pepper Bridge and Seven Hills—top Walla Walla vineyards. Tight raspberry and huckleberry fruit is coated with dusty chocolate, coffee grounds and a lick of tobacco. Tannins are still a little chalky and unintegrated, but a little breathing time smoothes them out.",,91,35.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,North by Northwest 2007 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,North by Northwest
50441,50441,Italy,"Alluring scents of apple and Alpine wildflower float over to the bright but slender palate along with notes of pear and mineral. Brisk acidity gives it a clean, crisp finish.",Lepus,86,35.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Franz Haas 2014 Lepus Pinot Bianco (Alto Adige),Pinot Bianco,Franz Haas
116214,116214,France,"Rich and perfumed, the wine is packed with black cherry and damson fruit flavors. It is concentrated with its tannins firmly integrated, giving great final fruit and ripeness.",Domaine Desmures,90,14.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Georges Duboeuf 2009 Domaine Desmures  (Chiroubles),Gamay,Georges Duboeuf
16825,16825,France,"Lush, ripe and a touch heady, this is a rich selection that's brimming with notes of white peach, quince, melon and red apple. Thankfully, hints of ginger, nectarine pit and citrus rind add lift to the palate and remain through the medium-length finish.",Resplandy,87,12.0,Languedoc-Roussillon,Muscat de Saint-Jean de Minervois,,Lauren Buzzeo,@laurbuzz,Les Vignerons de la Méditerranée NV Resplandy  (Muscat de Saint-Jean de Minervois),Muscat Blanc à Petits Grains,Les Vignerons de la Méditerranée
58106,58106,France,"This is a wine to age, with such concentration in its texture and mineral structure. It offers rich white fruits and touches of spice. The aftertaste with its apples, green fruits and hints of apricot, is fresh and still developing. Drink from 2018.",Vignes de Ratier,92,30.0,Loire Valley,Menetou-Salon,,Roger Voss,@vossroger,Domaine Pellé 2014 Vignes de Ratier  (Menetou-Salon),Sauvignon Blanc,Domaine Pellé
36672,36672,US,"This must-have wine from the producer is always fun, a celebration of bright, juicy acidity and softly rendered dried lavender. Seamless on the palate, it will please fans of the variety and bring new ones into the fold, alluring in its smoky leather, white pepper and depth of blackberry.",Black Chicken,92,46.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Robert Biale 2014 Black Chicken Zinfandel (Napa Valley),Zinfandel,Robert Biale
88634,88634,US,"Bold and full bodied, packed with ripe blackberry, dark chocolate and spice flavors, this wine is also mouth-coating due to fine, soft tannins and a hint of sweetness. It will be fun for people who enjoy drama in their wine, but needs to be tamed by a juicy steak or the equivalent.",Roadside,89,14.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Victor Vineyards 2013 Roadside Red (Lodi),Red Blend,Victor Vineyards
44857,44857,Portugal,There is no compromise in the pinkness of the color of this wine. It is fruity with plenty of acidity and with a touch of caramel as well as some light tannins. Drink this blend of Syrah and Aragonez now.,Cuvée B,84,8.0,Alentejo,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 Cuvée B Rosé (Alentejo),Rosé,Adega Cooperativa de Borba
30176,30176,Italy,"This radiant wine opens with heady aromas of white flower, honey, beeswax and citrus zest. The elegant palate shows class and pedigree, offering nectarine, aromatic herb and white stone fruit alongside lively acidity. An energizing mineral note closes the lingering finish.",Praepositus,92,29.0,Northeastern Italy,Alto Adige Valle Isarco,,Kerin O’Keefe,@kerinokeefe,Abbazia di Novacella 2014 Praepositus Riesling (Alto Adige Valle Isarco),Riesling,Abbazia di Novacella
83979,83979,US,"Kicks off with pretty toast and peach aromas, followed by a strong lemony core. Moderate body and bright acidity make this zippy wine refreshing and food friendly. Best Buy.",Apaucuck,87,10.0,New York,Long Island,Long Island,,,Gristina 2000 Apaucuck Chardonnay (Long Island),Chardonnay,Gristina
32832,32832,Spain,"Dusty aromas of plum and berry fruits come with a touch of latex. This feels crisp, snappy and on edge. Lean, bright flavors of red currant and plum finish fresh, light and the slightest bit briny.",El Circulo Crianza,87,14.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Pagos del Rey 2012 El Circulo Crianza  (Rioja),Tempranillo Blend,Pagos del Rey
93871,93871,US,"A great price for a great wine, this Bea's Knees offers soft raspberry and leathery plum. Likewise it's soft, though not shy, in tannins. With savory cedar and espresso going on aside a long finish, it's ready to enjoy right now—thanks to the winery's holding back on release—and could further mellow into an even more savory self in time.",Bea's Knees,88,15.0,California,El Dorado County,Sierra Foothills,Virginie Boone,@vboone,People's Wine Revolution 2008 Bea's Knees Petite Sirah (El Dorado County),Petite Sirah,People's Wine Revolution
110164,110164,Austria,"There is an attractive lemon tang to this wine, as well as bright acidity and a creamy texture. It has plenty of fruit, and a sense of lightness that would make it a great apéritif.",Biokult Grüner Veltliner,86,14.0,Niederösterreich,,,Roger Voss,@vossroger,Michlits 2011 Biokult Grüner Veltliner Grüner Veltliner (Niederösterreich),Grüner Veltliner,Michlits
9003,9003,US,"Strong scents of grass and grapefruit leap from the glass; this could pass for Sauvignon Blanc in a blind tasting. The flavors follow, sweetly grassy, hinting at melon and yellow fruits, with plenty of natural acids and alcohol at a moderate 13.5%.",,88,18.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,WillaKenzie Estate 2007 Pinot Blanc (Willamette Valley),Pinot Blanc,WillaKenzie Estate
65314,65314,US,"This is attractively fruity in aroma, accented by smoke and spices. It smells plummy and tastes a bit like wood smoke and black pepper. Medium to full bodied, it is well balanced and just tannic enough to keep the texture firm and appetizing.",,88,18.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Graziano 2011 Grenache (Mendocino County),Grenache,Graziano
71521,71521,Austria,"Slightly grassy in character, this wine shows green pepper and tight tannins as well as black berry fruits. To balance this, the fruit is very much to the front, the wood and tannins behind. Drink now.",Cabernet Sauvignon,86,25.0,Mittelburgenland,,,Roger Voss,@vossroger,Pfneisl United Vineyards 2005 Cabernet Sauvignon Cabernet Sauvignon (Mittelburgenland),Cabernet Sauvignon,Pfneisl United Vineyards
80136,80136,Portugal,"This concentrated wine is dense with black fruits. Dark with chocolate and richness, it is still young and firm. Wood aging has smoothed the tannins and given extra fullness. The smoky aftertaste promises well. Drink from 2018.",Quinta do Gradil,88,11.0,Lisboa,,,Roger Voss,@vossroger,Parras Wines 2015 Quinta do Gradil Red (Lisboa),Portuguese Red,Parras Wines
73146,73146,US,"Rich in cherry and raspberry pie filling flavors, with red currant, cola and exotic pomegranate notes and a super-spicy finish. Bone dry, this Pinot shows the classy elegance of its vineyard source. On the downside is very tart acidity, as if the wine contained a big squirt of lime juice. Hard to tell where it's going, if anywhere, but nice after decanting with a grilled steak.",Sanford & Benedict,91,54.0,California,Sta. Rita Hills,Central Coast,,,Roessler 2008 Sanford & Benedict Pinot Noir (Sta. Rita Hills),Pinot Noir,Roessler
30711,30711,Argentina,"Baked, earthy aromas of raisin, fruitcake, ink and oak require plenty of air to show their best. A jammy, creamy, oaky palate is home to resiny flavors of vanilla, spice and berry fruits. The finish is woody, resiny and pasty, with ripe yet generic flavors in reserve.",Reserva Tonel 46,88,16.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Toneles 2011 Reserva Tonel 46 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Bodega Toneles
5008,5008,US,"This is co-fermented Old Stones Vineyard and Cailloux Vineyard Cabernet Sauvignon (60%) and Syrah (40%), showing the funk of the terroir and less of the varietal character of the fruit. It's flavorful and textural, with earth, anise and smoke notes, plus a mineral-driven wet-stone base and exceptional length.",The Creator,95,55.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,K Vintners 2009 The Creator Cabernet Sauvignon-Syrah (Walla Walla Valley (WA)),Cabernet Sauvignon-Syrah,K Vintners
75498,75498,Spain,"With lemon-lime and lemongrass aromas, this Cava is slightly exotic on the bouquet. The palate feels good but not terribly interesting or complex, with flavors of dusty apple, peach and vanilla. With a short finish, this vintage sparkler is fine but not as good as in the past.",Brut Gran Reserva,87,50.0,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé y Camps 2008 Brut Gran Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
125355,125355,US,"Tempting oak flavors spice up this full-bodied, deeply colored and moderately tannic wine. It smells like clove, cinnamon and nutmeg, and these spices also enhance the black cherry and blackberry flavors.",Rosso di Ca' Momi,88,15.0,California,California,California Other,Jim Gordon,@gordone_cellars,Ca' Momi 2014 Rosso di Ca' Momi Red (California),Red Blend,Ca' Momi
91820,91820,US,"This Syrah isn't the richest red wine, but it is very dry and balanced and, in its own way, quite elegant. With some scoury tannins, good acidity and pepper-infused cherry and tobacco flavors, it has enough complexity to accompany fine foods.",,86,16.0,California,Dunnigan Hills,Central Valley,,,Matchbook 2005 Syrah (Dunnigan Hills),Syrah,Matchbook
121143,121143,US,"Rich in thick cherry liqueur-flavored texture, this Sangiovese is dry and tannic with the best of its fruit and tobacco layers popping mid-palate before finishing flat as a straight line.",Thérèse Vineyards Dos Niñas Vineyards,83,35.0,California,Santa Clara Valley,Central Coast,Virginie Boone,@vboone,Martin Ranch 2009 Thérèse Vineyards Dos Niñas Vineyards Sangiovese (Santa Clara Valley),Sangiovese,Martin Ranch
20447,20447,Chile,"Leathery aromas of roasted black fruits show on the nose. Solid in feel, cherry, raspberry and a kick of salt house a medium-bodied palate.",Reserva Estate Bottled,85,15.0,Maule Valley,,,Michael Schachner,@wineschach,Luma Chequén 2012 Reserva Estate Bottled Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,Luma Chequén
105687,105687,France,"A hard and tannic wine, with too much dryness for pleasure. It's not likely to soften enough to balance out.",Réserve,83,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Domaine du Claouset 2011 Réserve  (Bordeaux Supérieur),Bordeaux-style Red Blend,Domaine du Claouset
113050,113050,Germany,"Fresh white grapefruit and tea leaves perfume this gorgeously honeyed kabinett. The palate is just delicately sweet, glazed by honey and sweet-tart tangerine flavors. Juicy in concentration yet finely filigreed on the tongue, it's an elegant yet approachable wine with wide appeal. Drink now through 2020.",Prüm Blue Kabinett,90,22.0,Mosel,,,Anna Lee C. Iijima,,S.A. Prüm 2015 Prüm Blue Kabinett Riesling (Mosel),Riesling,S.A. Prüm
102232,102232,Chile,"Heavy, generic cherry aromas are a touch volatile. This feels full and bouncy, with juicy acidity. Flavors of black fruits are ripe but lack complexity, while this is hot and raspy on the finish.",Araucano Humo Blanco Edicion Limitada,85,14.0,Lolol Valley,,,Michael Schachner,@wineschach,François Lurton 2015 Araucano Humo Blanco Edicion Limitada Pinot Noir (Lolol Valley),Pinot Noir,François Lurton
44260,44260,US,"Peppery, rich and low in pronounced oak, this estate-driven Cab has softened tannins and is most definitely drinkable now, with pungent, bright fruit and a lengthy, leathery finish.",Pestoni Family Estate,88,55.0,California,Rutherford,Napa,Virginie Boone,@vboone,Rutherford Grove 2010 Pestoni Family Estate Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Rutherford Grove
83851,83851,Portugal,"Powerful and dense, this wine exudes the darkest of tannins as well as intense black fruit. Layers of richness and structure show in this Port's considerable ageability, while its acidity lends freshness. This is a wine that should be aged for 15 years or more.",Vintage,97,95.0,Port,,,Roger Voss,@vossroger,Niepoort 2005 Vintage  (Port),Port,Niepoort
73794,73794,US,"This delicate wine shimmers with minerality from start to finish. Steely and dry in style, it's brisk with lemon and lime flavors that linger on the finish. It's a bit austere, but notable for the honed, linear feel.",,87,15.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Thirsty Owl Wine Company 2012 Riesling (Finger Lakes),Riesling,Thirsty Owl Wine Company
46162,46162,US,"Only one barrel of this Paul Hobbs-consulted bottling was produced, and that extreme focus made for a powerful and rich though not overripe result. Concentrated blackberry and violet aromas are cut by crushed gravel and cedar spice notes. Leather, tobacco, rose petal and black pepper accents spice up its black fig flavors on the hearty palate, which is structured with fine-grained tannins.",Estate,94,75.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Brave & Maiden 2014 Estate Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Brave & Maiden
96807,96807,US,"This is one of the best Bordeaux blends now available from Paso Robles. Based on Cabernet Sauvignon, it's enormously ripe in blackberry jam, currant, chocolate and cedar flavors that finish lush and spicy. The tannins are strong, but negotiable with barbecue.",Ensemble Lock Vineyard,90,42.0,California,Paso Robles,Central Coast,,,Écluse 2010 Ensemble Lock Vineyard Red (Paso Robles),Bordeaux-style Red Blend,Écluse
97803,97803,US,"Although this is a rosé, it provides an early glimpse, and a promising one, into the highly anticipated '09 Pinot vintage. Ripe and fruity in cherries, vanilla and spices, the wine shows great finesse and style.",Vin Gris of,87,16.0,California,Central Coast,Central Coast,,,Calera 2009 Vin Gris of Pinot Noir (Central Coast),Pinot Noir,Calera
5412,5412,Argentina,"Stout up front, the nose is packed with black-fruit aromas. The palate feels a bit prickly and raw, while blackberry flavors run quick, with a chocolaty oak character popping up on a lean finish.",Don Baltazar,88,17.0,Other,San Juan,,Michael Schachner,@wineschach,Casa Montes 2012 Don Baltazar Malbec (San Juan),Malbec,Casa Montes
78926,78926,France,"Four months in oak has given this wine a decidedly soft, creamy texture that meshes nicely with the flavors of ripe peaches and green apples. Yet there's also a crisp, lime-driven finish so the wine doesn't seem heavy. Best Buy.",Blanc,85,9.0,Bordeaux,Bordeaux Blanc,,,,Malesan 2001 Blanc  (Bordeaux Blanc),Bordeaux-style White Blend,Malesan
54700,54700,US,"Dark in color and full-bodied, this is a big, heavy sparkling wine based on Pinot Noir. It has flavors of cherries, raspberries, red currants, cola and anise, in a silky, crisp texture with yeasty notes.",Rosé,86,22.0,California,California,California Other,,,Chandon NV Rosé Sparkling (California),Sparkling Blend,Chandon
119000,119000,US,"Raisin-baked plum defines this hearty, full-bodied and ultraripe wine, rich in red berry and robust on the finish.",Arpad's Selection,85,38.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Buena Vista 2013 Arpad's Selection Zinfandel (Sonoma Valley),Zinfandel,Buena Vista
15228,15228,US,"Shannon Ridge is quietly becoming the king of Lake County, offering wines of both quality and value and this is no exception. This blend is made of Zinfandel, Syrah, Petite Sirah, Cabernet Sauvignon and Mourvèdre. The kitchen-sink approach doesn't muddle the wine in any way; it remains a smooth, fruity, ripe quaff, with a kick of vanilla on the finish.","High Elevation Collection, Wrangler Red",87,19.0,California,Lake County,,Virginie Boone,@vboone,"Shannon Ridge 2010 High Elevation Collection, Wrangler Red Red (Lake County)",Red Blend,Shannon Ridge
122362,122362,Argentina,"Fleshy and smelling of berry skins, this is a large Malbec. Everything tastes dark and fruity, with heavy flavors of spice and toast that powerfully linger on the finish. Texturally, this is tannic, ripe and syrupy.",Año Cero,87,19.0,Mendoza Province,La Consulta,,Michael Schachner,@wineschach,Altocedro 2012 Año Cero Malbec (La Consulta),Malbec,Altocedro
28471,28471,Austria,"Hints of ripe apricot and ethereal notes of crushed boxwood add interest to the more usual aromatic spectrum of green pear and white pepper. A lovely phenolic grip provides extra dimension and calls for food. Rounded, intriguing but still very refreshing.",Moosburgerin,90,18.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Felsner 2013 Moosburgerin Grüner Veltliner (Niederösterreich),Grüner Veltliner,Felsner
47153,47153,US,"A unique blend of Cabernet Sauvignon, Syrah, Mourvedre, Petit Verdot, Cabernet Franc, and Sangiovese with notes of sassafras, cocoa, and dried herbs. It's focused and concentrated with structured, firm tannins crafted to go the distance. Give it some time in the cellar or a long drawn out meal to see it at its best.",Marie's View Wallula Vineyard,92,80.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Den Hoed 2009 Marie's View Wallula Vineyard Red (Horse Heaven Hills),Red Blend,Den Hoed
40120,40120,France,"This is a fat style of rosé, bringing out ripe strawberries and diminishing the acidity. That makes it attractive as an apéritif style. It is fruity and soft with a smooth aftertaste.",Collection Rosé Brut,87,46.0,Champagne,Champagne,,Roger Voss,@vossroger,Gyéjacquot Frères NV Collection Rosé Brut  (Champagne),Champagne Blend,Gyéjacquot Frères
113872,113872,Italy,"Aromas of baked plum, cake spice, purple flower and a balsamic note jump out of the glass. The full-bodied palate shows power and finesse, delivering dried cherry, fig, vanilla, nutmeg and pipe tobacco while firm, velvety tannins provide the framework.",Il Sogno,93,120.0,Piedmont,Gattinara,,Kerin O’Keefe,@kerinokeefe,Travaglini 2011 Il Sogno  (Gattinara),Nebbiolo,Travaglini
19739,19739,US,"This beautifully balanced, flavorful wine combines vivid watermelon and canteloupe flavors with medium body, a rich texture and lingering finish. It has great concentration without being heavy.",,91,22.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Lazy Creek 2015 Rosé (Anderson Valley),Rosé,Lazy Creek
103323,103323,Australia,"Light to medium in body and rather tart, with leather and dried cherry notes that are submerged under an excessively medicinal character.",Wine Lovers,82,15.0,New South Wales,Orange,,Joe Czerwinski,@JoeCz,Tamburlaine 2008 Wine Lovers Malbec (Orange),Malbec,Tamburlaine
75894,75894,US,"Vibrant and concentrated, this light-bodied wine is one of the best of the flamboyantly packaged La Catrina line so far. Packed with vivid fruit flavor, it's lightly sweet but nicely balanced by fresh acidity and flavors like citrus and apple.",,87,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,La Catrina NV Chardonnay (California),Chardonnay,La Catrina
97934,97934,France,"Densely tannic, this has edgy black currant flavor emerging between a firmly dry structure  packed with dark berry fruits and fresh acidity. This is light in fruit and heavy on tannins.",,84,17.0,Bordeaux,Graves,,Roger Voss,@vossroger,Château le Bonnat 2003  Graves,Bordeaux-style Red Blend,Château le Bonnat
127451,127451,US,"Beautiful, classic Green Valley Chardonnay, this shows bright, mouthwatering acidity and a steely minerality that make it savory and elegant. But there's also a deep, flavorful core of green apple butter, pineapple jam and orange-mango juice. Oak and lees aging lend a creamy, sourdough richness. Drink now.",Heritage Clone,93,48.0,California,Green Valley,Sonoma,,,Iron Horse 2010 Heritage Clone Chardonnay (Green Valley),Chardonnay,Iron Horse
55213,55213,Italy,"This vibrant white features delicate but enticing aromas of black locust flower, jasmine and stone fruit. The round, bright palate offers creamy peach, crisp apple and juicy nectarine alongside firm acidity. It closes on a mineral note.",Molceo,92,30.0,Lombardy,Lugana,,Kerin O’Keefe,@kerinokeefe,Ottella 2012 Molceo  (Lugana),Turbiana,Ottella
55334,55334,US,"This is made in a dark, rich style, with the lush vanilla and tobacco flavors that can be found throughout this winery's red wine lineup. Here, the plummy fruit has the density to match the oak treatment.",,87,17.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Maryhill 2010 Barbera (Columbia Valley (WA)),Barbera,Maryhill
108578,108578,Chile,"A hard, grinding scent of road tar is out front on a mostly fruitless nose. This feels choppy and in search of balance. Gritty, herbaceous plum flavors finish with only modest fruit notes.",Reserva Guardián,83,12.0,Maule Valley,,,Michael Schachner,@wineschach,Mancura 2012 Reserva Guardián Carignan (Maule Valley),Carignan,Mancura
19388,19388,Australia,"More concentrated-tasting and intense than some of d'Arenberg's other 2011 single-vineyard Shirazes, this is still somewhat restrained. Some tobacco notes add nuance to the Ribena-like fruit, picking up hints of vanilla and earth on the finish.",The Blind Tiger Single Vineyard,89,85.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2011 The Blind Tiger Single Vineyard Shiraz (McLaren Vale),Shiraz,D'Arenberg
85907,85907,US,"A lovely bottle, with rich aromas of lemon/lime and beeswax. Flavors combine ripe citrus, orange peel and English Breakfast tea. Balanced and full, with 12% Chardonnay fleshing out the midpalate.",Genesis,89,16.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Hogue 2008 Genesis Viognier (Columbia Valley (WA)),Viognier,Hogue
113555,113555,US,"This blend of 50% Cabernet Sauvignon, 21% Merlot, 19% Cab Franc and 10% Petit Verdot is sourced from the Hedges, Stillwater, and Conner Lee vineyards. At first soft and smooth, it morphs into a textural wine with a mouthful of purple and black fruits—from blackberry on through cassis. Streaks of smoke, graphite and espresso highlight the finish.",Jammin',90,20.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Elevation Cellars 2011 Jammin' Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Elevation Cellars
1925,1925,Italy,"This opens with evident oak aromas of toasted wood, espresso and coffee bean followed by underpinnings of black fruit and pepper. The palate shows ripe black fruit, espresso and oak. Although it has nice depth, the finish is cut short by by drying wood tannins.",Cannubi Boschis,87,50.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Virna Borgogno 2009 Cannubi Boschis  (Barolo),Nebbiolo,Virna Borgogno
98593,98593,Italy,"This intriguing Amarone already shows complexity and depth. It has aromas of raisin, black fruit, graphite and spice, with a hint of leather. The palate delivers ripe but restrained plum and black cherry flavor, with soft white pepper and nutmeg notes, all supported by fresh acidity. Drink after 2015.",Casa dei Bepi,92,,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Viviani 2008 Casa dei Bepi  (Amarone della Valpolicella Classico),Red Blend,Viviani
100021,100021,US,"A strong Cabernet that's so tightly wound in tannins, it's hard to appreciate, despite plenty of fruit. There's also a green olive earthiness to the sweet blackberries and cedar. Showing its immaturity now, so give it a good six years in the cellar.",,90,65.0,California,Howell Mountain,Napa,,,La Jota Vineyard 2007 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,La Jota Vineyard
86702,86702,Chile,"Plastic, rubber and latex aromas dominate the nose on this Carmenère. Tomatoey, cloying and tannic in the mouth, the palate tastes mostly of carob, oak and herbal berry fruits.",Reserve,81,11.0,Rapel Valley,,,Michael Schachner,@wineschach,PKNT 2012 Reserve Carmenère (Rapel Valley),Carmenère,PKNT
30763,30763,Spain,"Gaseous, earthy, mossy aromas are not entirely inviting, and the palate is immensely thick and round, with big, grating tannins. But the plum, berry and meaty elements are good, and the finish of chewy tannins goes on for quite some time. An extracted wine with minor balance and aromatic issues.",Gotín del Risc,86,17.0,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Abad 2007 Gotín del Risc Mencía (Bierzo),Mencía,Abad
77646,77646,France,"Big, ripe, fruity wine, very pure and fresh. The black currant fruits give richness, following through with some black chocolate flavors and dry tannins. It will develop quickly, and the fruit is already delicious.",,89,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Fonroque 2006  Saint-Émilion,Bordeaux-style Red Blend,Château Fonroque
2943,2943,US,"Acidity dominates this wine, giving it a tart, almost sour taste. Couple that with the sizable tannins, and you have an uncomfortable wine. Call it rustic, old world. The blackberry, currant, coffee and herb flavors are fine.",Cooper Ranch,84,22.0,California,Shenandoah Valley (CA),Sierra Foothills,,,Easton 2007 Cooper Ranch Barbera (Shenandoah Valley (CA)),Barbera,Easton
58835,58835,Germany,"Chamomile blossoms seem to perfume this delicately fruity, floral wine. Medium-sweet in style, it's dainty and spry, showering the palate with sweet Meyer lemon, lime and honey. It's pristine through a long meandering finish.",Goldtröpfchen Piesport Auslese Erste Lage,91,60.0,Mosel,,,Anna Lee C. Iijima,,St. Urbans-Hof 2014 Goldtröpfchen Piesport Auslese Erste Lage Riesling (Mosel),Riesling,St. Urbans-Hof
68150,68150,US,"Elegant, exotic spice decorates the nose on this wine by Michael Mooney, with leathery clove, elderflowers, hard cinnamon spice and a blackberry fruit core. There is tremendous tension once sipped between graphite, tight elderberries and even some woody blueberries. Bay leaf, pencil lead and purple flower elements pepper the edges.",,94,34.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,El Pistolero 2013 Pinot Noir (Santa Lucia Highlands),Pinot Noir,El Pistolero
79911,79911,US,"This seems candy-sweet with flavors of raspberry, red licorice and spice. Simple, it is fine for everyday drinking.",,84,16.0,California,Central Coast,Central Coast,,,Sextant 2010 Zinfandel (Central Coast),Zinfandel,Sextant
17314,17314,Italy,"Aged partly in casks made from acacia wood, this structured wine opens with aromas of Alpine wild flowers, herbs, green apple and spice. The juicy palate offers apple, pear and intense white pepper alongside fresh acidity.",Aristos,89,18.0,Northeastern Italy,Alto Adige Valle Isarco,,Kerin O’Keefe,@kerinokeefe,Cantina Valle Isarco 2012 Aristos Grüner Veltliner (Alto Adige Valle Isarco),Grüner Veltliner,Cantina Valle Isarco
37317,37317,Italy,"MandraRossa's well-priced Fiano  offers Golden Delicious apple, banana and almond skin. The wine has a candy-like quality overall, but it's also genuine and simple with an easy approach.",,85,10.0,Sicily & Sardinia,Sicilia,,,,MandraRossa 2007 Fiano (Sicilia),Fiano,MandraRossa
37135,37135,Italy,"A blend of Sangiovese, with 10% Cabernet Sauvignon and Merlot, this offers aromas of ripe blackberry, baking spice, toasted oak and a balsamic note. The round, savory palate offers black cherry, ground pepper, anise, espresso and tobacco alongside polished tannins.",Famiglia Zingarelli Riserva,91,26.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Rocca delle Macìe 2012 Famiglia Zingarelli Riserva  (Chianti Classico),Red Blend,Rocca delle Macìe
96625,96625,US,"From the Thomas LaTour Vineyards on Mount Veeder, this wine is half barrel fermented and half aged in stainless steel, making for a balanced, full-bodied expression of the variety. Apple and stony mineral notes linger, with hints of butterscotch on the finish.",Risqué,90,38.0,California,Napa County,Napa,Virginie Boone,@vboone,Spicy Vines 2013 Risqué Chardonnay (Napa County),Chardonnay,Spicy Vines
106267,106267,US,"Bramble, wet slate, nori, red spice and a smoky, iodine-like element show on the nose of this bottling. The palate offers dried red fruit and a gamy quality, dashed with oregano, marjoram and a cigar-like spice.",,86,18.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,EOS 2014 Zinfandel (Paso Robles),Zinfandel,EOS
39753,39753,US,"This wine is a unique blend of Syrah, Merlot, Viognier, Cabernet Sauvignon and Mourvèdre. It seems locked up, with aromas of pickling spices, smoke, berry and vanilla that are followed by broad blue and black-fruit flavors that provide appeal.",Stampede,88,12.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,14 Hands 2014 Stampede Red (Columbia Valley (WA)),Red Blend,14 Hands
121070,121070,US,"Grown at the winery's estate vineyard high up in Annapolis, where the ocean looms large, this is a tannic, smoky wine, densely layered in blue and black fruit. Cola, sage and black tea await in the background.",,90,35.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Wild Ridge 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Wild Ridge
120987,120987,US,"Vague black-pepper aromas and almost neutral flavors combine for a simple, muted wine. It is medium bodied and innocuous.",,81,15.0,California,Clarksburg,Central Valley,Jim Gordon,@gordone_cellars,Twisted Cedar 2011 Merlot (Clarksburg),Merlot,Twisted Cedar
